# Benchmark LUD (n = 512, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.8306258	0.9134022	0.917666	0.9171493	0.91099393	0.91230595
2	1.192179	1.5212809	1.307269	1.294505	1.3081689	1.3238128
3	1.5078021	1.4742695	1.5160218	1.4951482	1.5362436	1.5468729
4	1.5445678	1.6377478	1.879967	1.6422296	1.8515751	1.6633115
6	1.731774	1.9447381	2.1209078	1.9384563	2.2122624	2.0400786
8	1.9760832	2.2704103	2.3174796	2.1364062	2.4813929	2.3388717
10	2.1496983	2.4835548	2.733637	2.4399743	2.496606	2.6211495
12	2.3883536	2.7096007	2.8843915	2.653479	3.059297	2.7708385
14	2.2872617	2.4059927	2.6715088	2.3675249	2.655333	2.7621124
16	2.1948028	2.3043654	2.5553563	2.309032	2.5749774	2.7173498
20	2.0875137	2.0470376	2.4647644	2.1918492	2.5349045	2.5524962
24	1.9057329	1.965862	2.154166	2.0882783	2.092494	2.116577
28	2.3094997	1.9905726	2.2489152	2.0237842	2.2484717	2.221313
32	2.1801147	1.9706187	2.1742945	1.9470628	2.1146142	1.9860651
