# Benchmark LUD (n = 512, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.8160488	0.9120139	0.91168284	0.6029498	0.60346484	0.9098117
2	1.1881536	1.7217822	1.3112348	1.0103235	1.0104591	1.3005983
3	1.4600233	1.9396825	1.6906222	1.3471783	1.3662295	1.7238829
4	1.7275715	2.2555122	2.0201054	1.7719862	1.7694896	1.9612215
6	2.0653207	2.6	2.2616045	2.1874213	2.2461004	2.4132152
8	2.3697064	2.7968576	2.5949266	2.5608292	2.5869093	2.8191795
10	2.6144328	3.018291	2.948611	2.9084008	2.9598062	3.173803
12	2.981667	3.2374337	3.2565544	3.3807387	3.2768517	3.6439395
14	2.9974809	3.341759	3.1885755	3.249533	3.2448688	3.1796062
16	2.8927703	3.2397535	3.3343658	2.9939082	3.2185364	3.2692697
20	2.932927	3.1346366	3.2916424	3.254679	3.1962392	3.2388253
24	2.7603176	2.7765906	2.863458	2.7735248	2.8547797	2.8146164
28	3.193079	2.9470735	3.1994057	2.925715	3.1985004	3.279704
32	2.9978783	2.5057638	3.1836362	2.7165344	3.028805	3.3299456
