# Benchmark LUD (n = 512, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.8596765	0.94716275	0.9755273	0.9593097	0.95447385	0.96434826
2	1.182244	1.6590909	1.2999356	1.6700661	1.3137467	1.2990994
3	1.172634	1.584881	1.2649269	1.6003698	1.369575	1.3624916
4	1.2277609	1.5624033	1.4756454	1.4564904	1.5090909	1.485049
6	1.4143324	1.7213068	1.6896263	1.6140118	1.7375968	1.7203294
8	1.6550122	1.8233523	1.8483832	1.8875389	1.8810928	1.8781773
10	1.8129863	1.858019	1.9432329	1.9482315	1.9774804	1.987209
12	1.8648815	1.9911271	2.0169773	1.972973	2.1118858	2.070745
14	1.5932158	1.6550122	1.6844593	1.6384532	1.7936649	1.70436
16	1.5235102	1.5124813	1.7577604	1.5246603	1.6446797	1.6313947
20	1.241344	1.4273263	1.509843	1.2737019	1.5516005	1.5551848
24	1.2541916	1.2615032	1.440561	1.3217714	1.3683379	1.3494432
28	1.378612	1.2444034	1.4470981	1.2696983	1.3874513	1.3443532
32	1.4395343	1.263608	1.1871082	1.2144718	1.1620637	1.1817827
