# Benchmark LUD (n = 256, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.73142856	0.77634573	0.78829867	0.7716654	0.77575755	0.7781155
2	0.8612279	0.9561158	0.8590604	0.89588803	0.89588803	0.89903426
3	0.83797055	0.8827586	0.8767123	0.87148935	0.9151028	0.87000847
4	0.81789136	0.8612279	0.86559594	0.84838444	0.87821615	0.87148935
6	0.86632824	0.87148935	0.85333335	0.84838444	0.8752137	0.8865801
8	0.89354277	0.87821615	0.9151028	0.78108317	0.88504755	0.88734835
10	0.88734835	0.8476821	0.87223166	0.862679	0.86926997	0.8612279
12	0.8767123	0.8278092	0.8490879	0.8759624	0.8192	0.83728534
14	0.61097854	0.62553453	0.7150838	0.83934426	0.6863271	0.67279893
16	0.7728302	0.5648097	0.6632124	0.7246992	0.6436204	0.6164961
20	0.7175893	0.5795133	0.6489227	0.6701571	0.51021427	0.59778166
24	0.58715594	0.53781515	0.567313	0.5848087	0.551427	0.4925445
28	0.46672744	0.5097063	0.5364065	0.59088284	0.5148316	0.4832468
32	0.36132675	0.48692346	0.51534975	0.5824801	0.4901867	0.5169107
