# Benchmark LUD (n = 512, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.8347392	0.92091763	0.92005026	0.9157468	0.914797	0.9149352
2	1.5779024	1.7481238	1.7424905	1.7426242	1.7435607	1.7431258
3	1.9919527	1.8089008	2.1124806	2.1771839	2.1033828	2.1024578
4	2.0010352	2.1231945	2.2352	2.3355958	2.4782574	2.49076
6	2.1300147	2.8329124	2.797838	2.774425	3.1505513	3.1823373
8	2.8244567	3.4989407	3.5394297	3.4973245	3.8264184	3.7541533
10	3.1805546	3.9186869	4.0573025	3.8921595	3.9402733	4.2408385
12	3.549664	4.7090874	5.0648417	4.59662	4.4693003	4.844185
14	3.9063857	4.93551	5.0807047	4.7311597	4.466444	5.0206146
16	4.0649276	5.0969534	5.209186	5.03369	4.725499	5.0659714
20	4.2911196	5.1771245	4.5619946	5.11043	4.8545394	5.351891
24	3.9810245	4.217997	4.0290504	4.0918427	4.2988358	5.1768293
28	4.12192	4.5025277	4.5462418	4.3051515	4.5358	4.8075256
32	4.4836383	4.559247	4.759667	4.562224	4.5337625	5.0211697
