# Benchmark LUD (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	Multi-atomics 64 1 1	Multi-atomics 64 10 1	Multi-atomics 64 1 4	WorkAssisting 1	WorkAssisting 4
1	0.83774596	0.92208135	0.9254313	0.9233511	0.9224917	0.92310804
2	1.2265892	1.7309897	1.3515532	1.3544037	1.3540417	1.3517135
3	1.5417596	1.7813025	1.4473542	1.7463042	1.9487969	1.7467724
4	1.4961772	2.0603704	1.9203167	1.8288144	2.3381364	1.8727564
6	2.2578983	2.7522182	2.3863506	2.3493404	3.3274465	2.372444
8	2.8419347	3.5936317	3.3357232	3.2817044	4.016561	3.2298646
10	3.1539047	3.7788827	3.8921041	3.746282	4.351594	3.4998465
12	3.3170376	4.254152	4.0102024	3.8848088	4.5140085	3.911134
14	3.306454	3.6884	3.8772109	3.7682645	3.9624577	3.7911365
16	3.244805	3.5753157	3.9473639	3.9665942	3.837078	3.796819
20	3.317279	3.8091896	4.033973	3.7723174	3.9950933	3.9371383
24	3.1221583	3.7097063	3.4723935	3.3182447	3.5141425	3.5095444
28	3.6098487	3.9638355	3.71939	3.7729416	3.9638355	3.874246
32	3.7946072	3.7592547	4.0321894	4.001053	4.0605574	3.8722718
